School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Fletcher Drive Elementary,Los Angeles,Los Angeles Unified,"3350 Fletcher Dr. Los Angeles, CA 90065-2915",(323) 254-5246,"Jim Canelas, jim.canelas@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Florence Avenue Elementary,Los Angeles,Los Angeles Unified,"7211 Bell Ave. Los Angeles, CA 90001-2716",(323) 582-0758,"Consuelo Acosta, cxa1519@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Florence Griffith Joyner Elementary,Los Angeles,Los Angeles Unified,"1963 East 103rd St. Los Angeles, CA 90002-3123",(323) 569-8141,"Dai Shalon Jordan, daishalon.jordan@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Florence Nightingale Middle,Los Angeles,Los Angeles Unified,"3311 North Figueroa St. Los Angeles, CA 90065-1527",(323) 224-4800,"Douglas Meza, drm4117@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Ford Boulevard Elementary,Los Angeles,Los Angeles Unified,"1112 South Ford Blvd. Los Angeles, CA 90022-2912",(323) 268-8508,"Ana Vega, alv6378@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Forty-Ninth Street Elementary,Los Angeles,Los Angeles Unified,"750 East 49th St. Los Angeles, CA 90011-4014",(323) 234-9045,"Maria Rosas, mdr3802@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Forty-Second Street Elementary,Los Angeles,Los Angeles Unified,"4231 Fourth Ave. Los Angeles, CA 90008-3903",(323) 296-7550,"Irina Sugar, irina.sugar@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Fourth Street Elementary,Los Angeles,Los Angeles Unified,"420 South Amalia Ave. Los Angeles, CA 90022-2628",(323) 266-0182,"Maria Freese, maria.freese@lausd.net",Elementary Schools (Public),2,5,Yes,No,No,No
Fourth Street Primary Center,Los Angeles,Los Angeles Unified,"469 Amalia Ave. Los Angeles, CA 90022-2627",(323) 268-8775,"Audrey Wu., audrey.wu@lausd.net",Elementary Schools (Public),K,1,Yes,No,No,No
Francisco Sepulveda Middle,Los Angeles,Los Angeles Unified,"15330 Plummer St. North Hills, CA 91343-2228",(818) 920-2130,"Gabriel Ortega, gorte1@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Frank del Olmo Elementary,Los Angeles,Los Angeles Unified,"100 North New Hampshire Ave. Los Angeles, CA 90004-4707",(213) 427-7200,"Ricardo Romero, rxr7304@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Franklin Avenue Elementary,Los Angeles,Los Angeles Unified,"1910 North Commonwealth Ave. Los Angeles, CA 90027-2800",(323) 663-0320,"Veronica Sasso, vvs0559@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Fries Avenue Elementary,Los Angeles,Los Angeles Unified,"1301 Fries Ave. Wilmington, CA 90744-2510",(310) 834-6431,"Lorraine Torres, lorraine.torres@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Fullbright Avenue Elementary,Los Angeles,Los Angeles Unified,"6940 Fullbright Ave. Canoga Park, CA 91306-3516",(818) 340-6677,"Michael Payne, michael.payne@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Garden Grove Elementary,Los Angeles,Los Angeles Unified,"18141 Valerio St. Reseda, CA 91335-3144",(818) 343-4762,"Emilio Arauz, emilio.arauz@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gardena Elementary,Los Angeles,Los Angeles Unified,"647 West Gardena Blvd. Gardena, CA 90247-5021",(310) 324-6967,"Blanca Cantu, blanca.cantu@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gardena Senior High,Los Angeles,Los Angeles Unified,"1301 West 182nd St. Gardena, CA 90248-3322",(310) 354-5000,"Rosemarie Martinez, Princpal, rmart8@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
Gardner Street Elementary,Los Angeles,Los Angeles Unified,"7450 Hawthorn Ave. Los Angeles, CA 90046-2802",(323) 876-4710,"Karen Hollis, kholli1@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Garvanza Elementary,Los Angeles,Los Angeles Unified,"317 North Avenue 62 Los Angeles, CA 90042-2808",(323) 254-7328,"Sarah Gilman, sgilman@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Garza (Carmen Lomas) Primary Center,Los Angeles,Los Angeles Unified,"2750 East Hostetter St. Los Angeles, CA 90023-4332",(323) 981-0270,"Juan Gonzalez Marin, jgonza02@lausd.net",Elementary Schools (Public),K,2,Yes,No,No,No
Gates Street Elementary,Los Angeles,Los Angeles Unified,"3333 Manitou Ave. Los Angeles, CA 90031-2813",(323) 225-9574,"Omar Malaszczuk, ojm5808@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gault Street Elementary,Los Angeles,Los Angeles Unified,"17000 Gault St. Lake Balboa, CA 91406-3607",(818) 343-1933,"Antoinette Brusca, axm2368@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
George De La Torre Jr. Elementary,Los Angeles,Los Angeles Unified,"500 North Island Ave. Wilmington, CA 90744-5524",(310) 847-1400,"Katherine Durke, knt0800@lausd.net",Elementary Schools (Public),K,8,Yes,No,No,No
George K. Porter Middle,Los Angeles,Los Angeles Unified,"15960 Kingsbury St. Granada Hills, CA 91344-7144",(818) 920-2050,"Dawn Guest-Johnson, dmg0923@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
George Washington Carver Middle,Los Angeles,Los Angeles Unified,"4410 McKinley Ave. Los Angeles, CA 90011-3614",(323) 846-2900,"Latasha Buck, lnb4534@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
George Washington Preparatory High,Los Angeles,Los Angeles Unified,"10860 South Denker Ave. Los Angeles, CA 90047-4622",(323) 418-4000,"Tony Booker, tlb2337@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
"Gerald A. Lawson Academy of the Arts, Mathematics and Science",Los Angeles,Los Angeles Unified,"929 West 69th St. Los Angeles, CA 90044-5200",(323) 565-3650,"Pamela Gray, pamela.gray@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Germain Academy For Academic Achievement,Los Angeles,Los Angeles Unified,"20730 Germain St. Chatsworth, CA 91311-2418",(818) 341-5821,"Luis Lopez, llopez10@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gil Garcetti Learning Academy,Los Angeles,Los Angeles Unified,"612 West 68th St. Los Angeles, CA 90044-6204",(323) 753-2133,"Robin Benton, rbenton@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
"Glassell Park ES Science, Technology, Engineering, Arts and Math Magnet",Los Angeles,Los Angeles Unified,"2211 West Avenue 30 Los Angeles, CA 90065-1204",(323) 223-2277,"Lillian Sugahara, ljs1713@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Gledhill Street Elementary,Los Angeles,Los Angeles Unified,"16030 Gledhill St. North Hills, CA 91343-2917",(818) 894-1151,"Linda Bueno, linda.bueno@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Glen Alta Elementary,Los Angeles,Los Angeles Unified,"3410 Sierra St. Los Angeles, CA 90031-2137",(323) 223-1195,"Lupe Buenrostro, ghb2337@lausd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Glenfeliz Boulevard Elementary,Los Angeles,Los Angeles Unified,"3955 Glenfeliz Blvd. Los Angeles, CA 90039-1441",(323) 666-1431,"Karen Sulahian, kls7414@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Glenn Hammond Curtiss Middle,Los Angeles,Los Angeles Unified,"1254 East Helmick St. Carson, CA 90746-3164",(310) 661-4500,"Gina Russell-Williams, grusse3@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Glenwood Elementary,Los Angeles,Los Angeles Unified,"8001 Ledge Ave. Sun Valley, CA 91352-4143",(818) 767-6406,"Claudia Ruiz, cruiz20@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Graham Elementary,Los Angeles,Los Angeles Unified,"8407 South Fir Ave. Los Angeles, CA 90001-4123",(323) 583-1263,"Theresa Corsaro, theresa.corsaro@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Granada Elementary,Los Angeles,Los Angeles Unified,"17170 Tribune St. Granada Hills, CA 91344-4899",(818) 363-3188,"Luis Rojas, lrojas@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Grand View Boulevard Elementary,Los Angeles,Los Angeles Unified,"3951 Grand View Blvd. Los Angeles, CA 90066-4551",(310) 390-3618,"Ryann Fletcher, ryann.fletcher@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Grant Elementary,Los Angeles,Los Angeles Unified,"1530 North Wilton Pl. Los Angeles, CA 90028-6716",(323) 469-4046,"Kevin Baker, kevin.baker@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Grape Street Elementary,Los Angeles,Los Angeles Unified,"1940 East 111th St. Los Angeles, CA 90059-2002",(323) 564-5941,"Keith Nakano, kkn7911@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gratts Learning Academy for Young Scholars (GLAYS),Los Angeles,Los Angeles Unified,"309 Lucas Ave. Los Angeles, CA 90017-2062",(213) 250-2932,"Jemima Galiano, jgaliano@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gridley Street Elementary,Los Angeles,Los Angeles Unified,"1907 Eighth St. San Fernando, CA 91340-1009",(818) 361-1243,"Giovanna Foschetti, gfoschet@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Griffin Avenue Elementary,Los Angeles,Los Angeles Unified,"2025 Griffin Ave. Los Angeles, CA 90031-3003",(323) 222-8131,"Reuben Rios, rrios@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Gulf Avenue Elementary,Los Angeles,Los Angeles Unified,"828 West L St. Wilmington, CA 90744-3310",(310) 835-3157,"Jose Soto, jfs7834@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Haddon Avenue Elementary,Los Angeles,Los Angeles Unified,"10115 Haddon Ave. Pacoima, CA 91331-3208",(818) 899-0244,"Deborah Plat, dplat@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Halldale Elementary,Los Angeles,Los Angeles Unified,"21514 Halldale Ave. Torrance, CA 90501-3016",(310) 328-3100,"Deborah Evers Allen, devers2@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hancock Park Elementary,Los Angeles,Los Angeles Unified,"408 South Fairfax Ave. Los Angeles, CA 90036-3135",(323) 935-5272,"Ashley Parker, amp2522@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Harbor City Elementary,Los Angeles,Los Angeles Unified,"1508 West 254th St. Harbor City, CA 90710-2717",(310) 326-5075,"Kimberly Reems, ker6750@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Harding Street Elementary,Los Angeles,Los Angeles Unified,"13060 Harding St. Sylmar, CA 91342-4814",(818) 365-9237,"Laura Fuentes, lxf1109@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Harmony Elementary,Los Angeles,Los Angeles Unified,"899 East 42nd St. Los Angeles, CA 90011",(323) 238-0791,"Consuelo Monreal-Ramirez, cxm0396@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Harrison Street Elementary,Los Angeles,Los Angeles Unified,"3529 City Terrace Dr. Los Angeles, CA 90063-3741",(323) 263-9191,"Iraiz Ynigo, iynigo@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Harry Bridges Span,Los Angeles,Los Angeles Unified,"1235 Broad Ave. Wilmington, CA 90744-2619",(310) 522-5400,"Steven Skrumbis, sskrumbi@lausd.net",Elementary Schools (Public),K,8,Yes,No,No,No
Hart Street Elementary,Los Angeles,Los Angeles Unified,"21040 Hart St. Canoga Park, CA 91303-2222",(818) 340-6222,"Curtis Johnson, cjohn6@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Harvard Elementary,Los Angeles,Los Angeles Unified,"330 North Harvard Blvd. Los Angeles, CA 90004-4412",(323) 953-4540,"Mark Paz, mpaz@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Haskell Elementary Science Technology Engineering Arts And Mathematics (STEAM) Magnet,Los Angeles,Los Angeles Unified,"15850 Tulsa St. Granada Hills, CA 91344-5525",(818) 366-6431,"Connie Covert, connie.covert@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Hawaiian Avenue Elementary,Los Angeles,Los Angeles Unified,"540 Hawaiian Ave. Wilmington, CA 90744-4922",(310) 830-1151,"Leticia Estrada De Carreon, ldecarre@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hazeltine Avenue Elementary,Los Angeles,Los Angeles Unified,"7150 Hazeltine Ave. Van Nuys, CA 91405-3244",(818) 781-1040,"Seth Avery, sda2040@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Helen Bernstein High,Los Angeles,Los Angeles Unified,"1309 North Wilton Pl. Hollywood, CA 90028-8526",(323) 817-6400,"Alejandro Ramirez, axr4321@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Heliotrope Avenue Elementary,Los Angeles,Los Angeles Unified,"5911 Woodlawn Ave. Maywood, CA 90270-3525",(323) 560-1230,"Gabriela Rodriguez, gabriela.rodriguez85@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Henry T. Gage Middle,Los Angeles,Los Angeles Unified,"2880 East Gage Ave. Huntington Park, CA 90255-4346",(323) 826-1500,"David Manzo, david.manzo@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Herrick Avenue Elementary,Los Angeles,Los Angeles Unified,"13350 Herrick Ave. Sylmar, CA 91342-7601",(818) 367-1864,"Jose Dorado, jld3168@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
"Hilda L. Solis Learning Academy School of Technology, Business and Education",Los Angeles,Los Angeles Unified,"319 North Humphreys Ave. Los Angeles, CA 90022-1422",(323) 729-1700,"Jose Avila, javila2@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Hillcrest Drive Elementary,Los Angeles,Los Angeles Unified,"4041 Hillcrest Dr. Los Angeles, CA 90008-2902",(323) 296-6867,"Enriqueta Cabrera, exc9058@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Hillery T. Broadous Elementary,Los Angeles,Los Angeles Unified,"12561 Filmore St. Pacoima, CA 91331-1255",(818) 896-5236,"Victoria Littlejohn, victoria.littlejohn@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Hillside Elementary,Los Angeles,Los Angeles Unified,"120 East Avenue 35 Los Angeles, CA 90031-1938",(323) 222-2665,"Richard Ycaza, richard.ycaza@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hobart Boulevard Elementary,Los Angeles,Los Angeles Unified,"980 South Hobart Blvd. Los Angeles, CA 90006-1220",(213) 386-8661,"Sylvia Valles, sxv2737@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hollenbeck Middle,Los Angeles,Los Angeles Unified,"2510 East Sixth St. Los Angeles, CA 90023-1420",(323) 780-3000,"Elsa Bolado, exb9104@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Hollywood Elementary,Los Angeles,Los Angeles Unified,"1115 Tamarind Ave. Los Angeles, CA 90038-1905",(323) 464-0331,"Jacquelyn Ewart, jacquelyn.ewart@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hollywood Senior High,Los Angeles,Los Angeles Unified,"1521 North Highland Ave. Los Angeles, CA 90028-7001",(323) 993-1700,"Fonna Bishop, fjb6723@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
Holmes Avenue Elementary,Los Angeles,Los Angeles Unified,"5108 Holmes Ave. Los Angeles, CA 90058-1911",(323) 582-7238,"Rene Baez, rene.baez@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Hooper Avenue Elementary,Los Angeles,Los Angeles Unified,"1225 East 52nd St. Los Angeles, CA 90011-4703",(323) 232-3571,"Lindsay Burt, lxb0253@lausd.net",Elementary Schools (Public),1,5,Yes,No,No,No
Hooper Avenue Primary Center,Los Angeles,Los Angeles Unified,"1280 East 52nd St. Los Angeles, CA 90011-4704",(323) 233-5866,"Roslyn Simpson, roslyn.simpson@lausd.net",Elementary Schools (Public),K,K,Yes,No,No,No
Hoover Street Elementary,Los Angeles,Los Angeles Unified,"2726 Francis Ave. Los Angeles, CA 90005-1252",(213) 387-3296,"Rene De Leon, rmd6633@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hope Street Elementary,Los Angeles,Los Angeles Unified,"7560 State St. Huntington Park, CA 90255-6133",(323) 586-5700,"Monica Esparza, monica.j.esparza@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hubbard Street Elementary,Los Angeles,Los Angeles Unified,"13325 Hubbard St. Sylmar, CA 91342-3224",(818) 367-1944,"Joseph Casas, jrc9168@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Hubert Howe Bancroft Middle,Los Angeles,Los Angeles Unified,"929 North Las Palmas Ave. Los Angeles, CA 90038-2421",(323) 993-3400,"Amy Diaz, adiaz35@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles,Los Angeles Unified,"4211 Dozier St. Los Angeles, CA 90063-3422",(323) 265-6830,"Deborah Lowe, dlowe1@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles,Los Angeles Unified,"24300 South Western Ave. Harbor City, CA 90710-1742",(310) 257-4300,"Gregory Fisher, gfisher@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Humphreys Avenue Elementary,Los Angeles,Los Angeles Unified,"500 South Humphreys Ave. Los Angeles, CA 90022-2416",(323) 263-6958,"Alejandro Almaguer, alejandro.almaguer@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Huntington Drive Elementary,Los Angeles,Los Angeles Unified,"4435 North Huntington Dr. Los Angeles, CA 90032-2641",(323) 223-1336,"Luis Velasco, lvelas2@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Huntington Park Elementary,Los Angeles,Los Angeles Unified,"6055 Corona Ave. Huntington Park, CA 90255-3332",(323) 869-5920,"David Ocampo, dcampo@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Huntington Park Senior High,Los Angeles,Los Angeles Unified,"6020 Miles Ave. Huntington Park, CA 90255-3109",(323) 826-2300,"Carlos Garibaldi, cgaribal@lausd.net",High Schools (Public),9,12,Yes,No,No,No
Independence Elementary,Los Angeles,Los Angeles Unified,"8435 Victoria Ave. South Gate, CA 90280-2353",(323) 249-9559,"Milady Quito, msq5411@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Ivanhoe Elementary,Los Angeles,Los Angeles Unified,"2828 Herkimer St. Los Angeles, CA 90039-2010",(323) 664-0051,"Lynda Rescia, lrescia@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Jaime Escalante Elementary,Los Angeles,Los Angeles Unified,"4443 Live Oak St. Cudahy, CA 90201-4207",(323) 890-2340,"Lisseett Hernandez, lxh4581@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
James A. Garfield Senior High,Los Angeles,Los Angeles Unified,"5101 East Sixth St. Los Angeles, CA 90022-3209",(323) 981-5500,"Andres Favela, afavel2@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
James Madison Middle,Los Angeles,Los Angeles Unified,"13000 Hart St. North Hollywood, CA 91605-4801",(818) 255-5200,"Susan Parker, sep0542@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
James Monroe High,Los Angeles,Los Angeles Unified,"9229 Haskell Ave. North Hills, CA 91343-3114",(818) 830-4200,"Mathew Diamond, mxd8140@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
John A. Sutter Middle,Los Angeles,Los Angeles Unified,"7330 Winnetka Ave. Canoga Park, CA 91306-2905",(818) 773-5800,"Kelly Welsh, kwelsh@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
John Adams Middle,Los Angeles,Los Angeles Unified,"151 West 30th St. Los Angeles, CA 90007-3316",(213) 745-3700,"Carlos Gonzalez, Princpal, cxg0564@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
John B. Monlux Elementary,Los Angeles,Los Angeles Unified,"6051 Bellaire Ave. North Hollywood, CA 91606-4461",(818) 763-4693,"Daniel Mulia, dem2046@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
John Burroughs Middle,Los Angeles,Los Angeles Unified,"600 South McCadden Pl. Los Angeles, CA 90005-3829",(323) 549-5000,"Steve Martinez, sjm2585@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
John C. Fremont Senior High,Los Angeles,Los Angeles Unified,"7676 South San Pedro St. Los Angeles, CA 90003-2348",(323) 565-1200,"Blanca Esquivel, blanca.esquivel@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
John F. Kennedy High,Los Angeles,Los Angeles Unified,"11254 Gothic Ave. Granada Hills, CA 91344-3709",(818) 271-2900,"Richard Chavez, richard.chavez@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
John H. Francis Polytechnic,Los Angeles,Los Angeles Unified,"12431 Roscoe Blvd. Sun Valley, CA 91352-3723",(818) 394-3600,"Elidia Vazquez, evazq1@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
John H. Liechty Middle,Los Angeles,Los Angeles Unified,"650 South Union Ave. Los Angeles, CA 90017-1633",(213) 989-1200,"Adalberto Vega, avega1@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
John Marshall Senior High,Los Angeles,Los Angeles Unified,"3939 Tracy St. Los Angeles, CA 90027-3207",(323) 671-1400,"Gary Garcia, gary.p.garcia@lausd.net",High Schools (Public),9,12,Yes,No,Yes,No
John Muir Middle,Los Angeles,Los Angeles Unified,"5929 South Vermont Ave. Los Angeles, CA 90044-3713",(323) 565-2200,"Aminika Readeux, aminika.readeux@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
John W. Mack Elementary,Los Angeles,Los Angeles Unified,"3020 South Catalina St. Los Angeles, CA 90007-2921",(323) 730-7620,"Ana Guzman, ana.guzman@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
"Johnnie Cochran, Jr., Middle",Los Angeles,Los Angeles Unified,"4066 West Johnnie Cochran Vista Los Angeles, CA 90019-6025",(323) 730-4300,"Gilberto Samuel, gilberto.samuel@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Joseph Le Conte Middle,Los Angeles,Los Angeles Unified,"1316 North Bronson Ave. Hollywood, CA 90028-8415",(323) 308-1700,"Eduardo Duran, exd8386@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,Yes,No
Judith F. Baca Arts Academy,Los Angeles,Los Angeles Unified,"1536 East 89th St. Los Angeles, CA 90002-1316",(323) 826-3560,"Tracye McWhorter, tcm1239@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Julie Korenstein Elementary,Los Angeles,Los Angeles Unified,"7650 Ben Ave. North Hollywood, CA 91605-2728",(818) 255-4140,"Oliver Ramirez, orami5@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Katherine Johnson STEM Academy,Los Angeles,Los Angeles Unified,"8701 Parkhill Dr. Los Angeles, CA 90045-3437",(323) 673-1230,"Kyle Hunsberger, kmh8583@lausd.net",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Kentwood Elementary,Los Angeles,Los Angeles Unified,"8401 Emerson Ave. Los Angeles, CA 90045-2890",(310) 670-8977,"Yvette Sugino, ysugino@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Kester Avenue Elementary,Los Angeles,Los Angeles Unified,"5353 Kester Ave. Van Nuys, CA 91411-4022",(818) 787-6751,"Victoria Christie, victoria.christie@lausd.net",Elementary Schools (Public),K,5,Yes,No,Yes,No
Kingsley Elementary,Los Angeles,Los Angeles Unified,"5200 West Virginia Ave. Los Angeles, CA 90029-1212",(323) 644-7700,"Karina Salazar, karina.salazar@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Kittridge Street Elementary,Los Angeles,Los Angeles Unified,"13619 Kittridge St. Van Nuys, CA 91401-1113",(818) 786-7926,"Alfonso Jimenez, axj6510@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
La Salle Avenue Elementary,Los Angeles,Los Angeles Unified,"8715 La Salle Ave. Los Angeles, CA 90047-3320",(323) 759-1161,"Aresa Allen, aresa.allen@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lafayette Park Primary Center,Los Angeles,Los Angeles Unified,"310 South La Fayette Park Pl. Los Angeles, CA 90057-1604",(213) 380-5039,"Amy Luu, apl1999@lausd.net",Elementary Schools (Public),K,K,Yes,No,No,No
Lake Street Primary,Los Angeles,Los Angeles Unified,"135 North Lake St. Los Angeles, CA 90026-5320",(213) 413-3305,"Bruce Onodera, bto2609@lausd.net",Elementary Schools (Public),K,1,Yes,No,No,No
Lanai Road Elementary,Los Angeles,Los Angeles Unified,"4241 Lanai Rd. Encino, CA 91436-3614",(818) 788-1590,"Mario Thompson, mgt6494@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Langdon Avenue Elementary,Los Angeles,Los Angeles Unified,"8817 Langdon Ave. North Hills, CA 91343-5004",(818) 892-0779,"Alfredo Montes, aam5154@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lankershim Elementary,Los Angeles,Los Angeles Unified,"5250 Bakman Ave. North Hollywood, CA 91601-3101",(818) 769-3130,"Norma Alvarez, nxa1602@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lassen Elementary,Los Angeles,Los Angeles Unified,"15017 Superior St. North Hills, CA 91343-2440",(818) 892-8618,"Lance Moore, lance.moore@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Latona Avenue Elementary,Los Angeles,Los Angeles Unified,"4312 Berenice Ave. Los Angeles, CA 90031-1408",(323) 221-5148,"Maritza Maldonado, mxm4242@lausd.net",Elementary Schools (Public),K,6,Yes,No,No,No
Leapwood Avenue Elementary,Los Angeles,Los Angeles Unified,"19302 Leapwood Ave. Carson, CA 90746-1954",(310) 327-8245,"Camellia Hudley, cdh0276@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Leland Street Elementary,Los Angeles,Los Angeles Unified,"2120 South Leland St. San Pedro, CA 90731-5224",(310) 832-0505,"Marie Michinard, mls0363@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lemay Street Elementary,Los Angeles,Los Angeles Unified,"17520 Vanowen St. Lake Balboa, CA 91406-4314",(818) 343-4696,"Long Nguyen, lnguye3@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lenicia B. Weemes Elementary,Los Angeles,Los Angeles Unified,"1260 West 36th Pl. Los Angeles, CA 90007-3947",(323) 733-9186,"Mercedes Pineda, mercedes.pineda@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Leo Politi Elementary,Los Angeles,Los Angeles Unified,"2481 West 11th St. Los Angeles, CA 90006-2961",(213) 480-1244,"Luis Ochoa, luis.ochoa@lausd.net",Elementary Schools (Public),K,5,Yes,No,No,No
Lexington Avenue Primary Center,Los Angeles,Los Angeles Unified,"4564 West Lexington Ave. Los Angeles, CA 90029-1915",(323) 644-2884,"Mariam Kupalian, mkupalia@lausd.net",Elementary Schools (Public),K,2,Yes,No,No,No
